Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
AMD Opteron 250,CPU,2004-05-18,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
Intel Xeon MP 7030 Dual-Core,CPU,2005-12-01,90.0,135.0,213.0,200.0,2833.0,Intel,Intel,,,
Intel Core i5-9600K,CPU,2018-10-19,14.0,95.0,,,3700.0,Intel,Intel,,,
AMD FX-8170,CPU,2012-10-23,32.0,125.0,315.0,1200.0,3900.0,Unknown,AMD,,,
AMD Opteron 850,CPU,2004-12-01,90.0,85.0,,106.0,2400.0,Unknown,AMD,,,
Intel Core i5-10300H,CPU,2020-09-17,14.0,45.0,,,2500.0,Intel,Intel,,,
Intel Core i7-5557U,CPU,2015-03-01,14.0,28.0,,,3100.0,Intel,Intel,,,
Intel Core i7-2860QM,CPU,2011-09-04,32.0,45.0,216.0,1160.0,2500.0,Intel,Intel,,,
Intel Core i7-9750HF,CPU,2019-04-23,14.0,45.0,149.0,,2600.0,Intel,Intel,,,
Intel Pentium 350,CPU,2011-11-21,32.0,15.0,131.0,504.0,1200.0,Intel,Intel,,,
AMD Ryzen 5 2600X,CPU,2018-04-19,12.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,
Intel Core M-5Y70,CPU,2014-09-05,14.0,5.0,50.0,,1100.0,Intel,Intel,,,
Intel Pentium 4 HT 2.40,CPU,2003-05-21,130.0,66.0,131.0,55.0,2400.0,Intel,Intel,,,
AMD Ryzen 7 4700U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,1800.0,TSMC,AMD,,,
Intel Atom E620T,CPU,2010-09-14,45.0,3.0,26.0,47.0,600.0,Intel,Intel,,,
AMD Opteron 43GK HE,CPU,2012-12-04,32.0,65.0,315.0,1200.0,2600.0,Unknown,AMD,,,
AMD Athlon X2 7450,CPU,2008-12-15,65.0,95.0,285.0,450.0,2400.0,Unknown,AMD,,,
Intel Atom E3825,CPU,2013-10-08,22.0,6.0,,,1333.0,Intel,Intel,,,
Intel Celeron N2808,CPU,2014-05-22,22.0,4.0,,,1580.0,Intel,Intel,,,
AMD Ryzen 5 1500X,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3500.0,GF,AMD,,,
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2200.0,Unknown,AMD,,,
AMD A4-4300M,CPU,2012-05-15,32.0,35.0,246.0,1303.0,2500.0,Unknown,AMD,,,
Intel Core i5-670,CPU,2010-01-07,32.0,73.0,81.0,382.0,3466.0,Intel,Intel,,,
Intel Xeon Platinum 8358,CPU,2021-04-06,10.0,250.0,,,2600.0,Intel,Intel,,,
Intel Core 2 Duo U7600,CPU,2007-04-27,65.0,10.0,111.0,293.0,1200.0,Intel,Intel,,,
Intel Core i7-4760HQ,CPU,2014-02-01,22.0,47.0,264.0,1400.0,2100.0,Intel,Intel,,,
Intel Pentium D 940,CPU,2006-01-16,65.0,130.0,140.0,376.0,3200.0,Intel,Intel,,,
AMD Turion 64 MT-37,CPU,2005-08-08,90.0,25.0,125.0,114.0,2000.0,Unknown,AMD,,,
Intel Core i5-4300M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2600.0,Intel,Intel,,,
Intel Core i7-3635QM,CPU,2012-09-01,22.0,45.0,160.0,1480.0,2400.0,Intel,Intel,,,
AMD Opteron 6376,CPU,2012-11-05,32.0,115.0,315.0,2400.0,2300.0,Unknown,AMD,,,
AMD EPYC 72F3,CPU,2021-03-15,7.0,180.0,,,3700.0,TSMC,AMD,,,
AMD Opteron 244,CPU,2003-08-05,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
Intel Core i5-3330S,CPU,2012-09-03,22.0,77.0,133.0,,2700.0,Intel,Intel,,,
Intel Xeon Platinum 8352S,CPU,2021-04-06,10.0,205.0,,,2200.0,Intel,Intel,,,
Intel Pentium 4 2.40,CPU,2004-03-01,90.0,110.0,109.0,125.0,2400.0,Intel,Intel,,,
Intel Xeon MP 3.00,CPU,2005-03-29,90.0,135.0,,286.0,3000.0,Intel,Intel,,,
Intel Xeon E5-2695 v2,CPU,2013-09-01,22.0,115.0,160.0,1400.0,2400.0,Intel,Intel,,,
Intel Pentium M 725,CPU,2004-06-23,90.0,21.0,84.0,140.0,1600.0,Intel,Intel,,,
AMD Sempron 2800+,CPU,2005-07-15,90.0,25.0,,69.0,1600.0,Unknown,AMD,,,
Intel Xeon 5110,CPU,2006-06-26,65.0,65.0,,,1600.0,Intel,Intel,,,
AMD A4-3320M,CPU,2011-12-20,32.0,35.0,228.0,1178.0,2000.0,Unknown,AMD,,,
Intel Mobile Pentium 4 2.80,CPU,2003-06-11,130.0,68.0,131.0,55.0,2800.0,Intel,Intel,,,
Intel Core i7-4960X,CPU,2013-09-03,22.0,130.0,257.0,1860.0,3600.0,Intel,Intel,,,
Intel Core i3-9350K,CPU,2019-04-23,14.0,91.0,,,4000.0,Intel,Intel,,,
AMD Athlon II X2 250e,CPU,2010-09-21,45.0,45.0,117.0,410.0,3000.0,Unknown,AMD,,,
AMD Athlon 64 X2 6000+,CPU,2007-08-20,65.0,89.0,126.0,154.0,3100.0,Unknown,AMD,,,
AMD Athlon 64 LE-1620,CPU,2007-10-08,90.0,45.0,230.0,227.0,2400.0,Unknown,AMD,,,
Intel Celeron 2.40,CPU,2003-03-31,130.0,73.0,146.0,55.0,2400.0,Intel,Intel,,,
