incident_year,recovery_status,provoked_unprovoked,victim_activity
1947.0,uninjured,provoked,diving
1947.0,injured,unprovoked,other: standing in water
1947.0,fatal,unprovoked,swimming
1947.0,injured,unprovoked,swimming
1947.0,injured,provoked,fishing
1948.0,injured,provoked,swimming
1948.0,fatal,unprovoked,swimming
1948.0,injured,provoked,snorkelling
1948.0,fatal,unprovoked,swimming
1948.0,uninjured,provoked,spearfishing
1949.0,uninjured,provoked,boarding
1949.0,injured,provoked,
1949.0,uninjured,unprovoked,boarding
1949.0,fatal,unprovoked,swimming
1949.0,uninjured,unprovoked,boarding
1949.0,fatal,unprovoked,swimming
1949.0,injured,unprovoked,swimming
1949.0,injured,unprovoked,swimming
1949.0,injured,unprovoked,swimming
1949.0,fatal,unprovoked,swimming
1949.0,injured,provoked,swimming
1950.0,injured,provoked,swimming
1950.0,fatal,unprovoked,swimming
1950.0,injured,unprovoked,swimming
1950.0,uninjured,unprovoked,unmotorised boating
1950.0,fatal,unprovoked,swimming
1951.0,injured,provoked,spearfishing
1951.0,injured,unprovoked,swimming
1951.0,injured,provoked,boarding
1951.0,fatal,unprovoked,swimming
1951.0,fatal,unprovoked,swimming
1951.0,fatal,unprovoked,swimming
1951.0,uninjured,unprovoked,boarding
1952.0,injured,unprovoked,boarding
1952.0,uninjured,provoked,
1952.0,injured,provoked,fishing
1952.0,injured,unprovoked,swimming
1952.0,injured,provoked,fishing
1953.0,injured,provoked,spearfishing
1953.0,injured,provoked,spearfishing
1953.0,injured,provoked,spearfishing
1953.0,injured,provoked,spearfishing
1953.0,uninjured,unprovoked,swimming
1953.0,injured,unprovoked,swimming
1953.0,injured,unprovoked,swimming
1954.0,injured,provoked,
1954.0,injured,provoked,spearfishing
1954.0,injured,unprovoked,swimming
1954.0,fatal,unprovoked,swimming
1954.0,injured,provoked,snorkelling
1954.0,fatal,provoked,spearfishing
1955.0,fatal,provoked,spearfishing
1955.0,fatal,unprovoked,swimming
1955.0,fatal,unprovoked,swimming
1955.0,injured,provoked,spearfishing
1956.0,injured,provoked,snorkelling
1956.0,fatal,unprovoked,swimming
1956.0,injured,unprovoked,swimming
1956.0,uninjured,provoked,spearfishing
1956.0,uninjured,unprovoked,diving
1956.0,fatal,unprovoked,swimming
1956.0,injured,provoked,snorkelling
1956.0,injured,provoked,diving
1957.0,uninjured,unprovoked,boarding
1957.0,fatal,unprovoked,swimming
1957.0,injured,unprovoked,swimming
1957.0,injured,provoked,swimming
